1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
YGL055W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YGL253W,4,2,6,6,2,6,2,6,2,6,6,1,6,1,1,1,6,2,2,2,1,2,2,2
YGR142W,1,2,1,1,1,1,1,5,1,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YGR146C,2,2,2,1,2,2,2,5,2,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YGR192C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YGR211W,6,5,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,2,5,2,6,5,2,2
YHR030C,2,2,2,1,2,2,2,5,2,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YHR064C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YHR174W,4,2,2,6,2,2,2,6,2,6,6,5,6,2,1,6,6,2,2,2,2,2,2,2
YJL052W,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YJL107C,4,2,4,6,4,4,4,6,2,6,6,5,6,2,1,6,6,2,2,2,2,2,2,2
YJL108C,2,2,2,6,2,2,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YJL165C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YJR009C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YJR045C,1,2,1,1,1,1,1,5,1,1,5,5,1,5,1,5,1,2,2,2,5,2,2,2
YJR078W,1,2,1,1,1,1,1,5,1,1,5,5,1,2,5,5,1,2,2,2,2,2,2,2
YKL060C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YKL152C,4,2,2,6,2,2,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YKL153W,4,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YKR016W,2,2,2,6,2,2,2,1,2,6,1,1,6,2,1,1,6,2,2,2,2,2,2,2
YLR194C,6,5,6,6,1,6,1,6,1,6,6,6,6,2,5,6,6,5,5,5,2,5,5,5
YLR044c,6,2,6,6,4,6,4,6,6,6,6,6,6,6,1,6,6,2,2,2,6,2,2,2
YLR089C,2,2,2,1,2,4,2,6,2,1,6,5,1,2,1,5,1,2,2,2,2,2,2,2
YLR136c,2,2,2,1,2,2,2,6,2,1,6,5,1,2,1,5,1,2,2,2,2,2,2,2
YKR061W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YKR080W,6,2,6,6,2,6,2,6,2,6,6,1,6,2,1,1,6,2,2,2,2,2,2,2
YLL026w,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YLR359W,6,2,6,6,4,4,4,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YLR414C,2,2,2,1,2,2,2,6,2,1,6,5,1,2,1,5,1,2,2,2,2,2,2,2
YML038C,2,2,4,6,4,4,4,6,2,6,6,5,6,2,1,6,6,2,2,2,2,2,2,2
YMR039C,6,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YNL160W,2,2,2,1,2,2,2,6,2,1,6,5,1,2,1,5,1,2,2,2,2,2,2,2
YNR033W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YOL158C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YOR036W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YOL059W,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YOR178C,2,2,2,6,2,2,2,1,2,6,1,1,6,2,1,1,6,2,2,2,2,2,2,2
YOR197W,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YOR207C,6,6,6,6,6,6,6,6,4,6,6,1,6,1,1,1,6,2,6,2,1,2,2,2
YOR208W,2,2,2,6,2,2,2,1,2,6,1,1,6,2,1,1,6,2,2,2,2,2,2,2
YOR209C,4,2,6,6,2,6,2,6,2,6,6,1,6,2,1,1,6,2,2,2,2,2,2,2
YOR299W,2,2,2,1,2,2,2,5,2,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YOR344C,6,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YOR385W,6,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YOR389W,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YPL057C,4,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YPL106C,2,2,2,6,2,2,2,1,2,6,1,1,6,1,1,1,6,2,2,2,1,2,2,2
YPL277C,6,2,6,6,2,6,2,6,2,6,6,6,6,2,1,6,6,2,2,2,2,2,2,2
YPL278C,2,2,2,6,2,2,2,6,2,6,6,1,6,2,1,1,6,2,2,2,2,2,2,2
YPR030W,6,2,6,6,2,6,2,6,2,6,6,1,6,1,1,1,6,2,2,2,1,2,2,2
YPR074C,2,2,2,6,2,2,2,6,2,6,6,5,6,2,1,5,6,2,2,2,2,2,2,2
YAL012W,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YDR055w,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YDR129C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YDR497C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YER158c,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YGL179C,1,2,1,1,1,1,1,5,1,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YGR189C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YHL021C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YJL159W,1,2,1,1,1,1,1,5,1,1,5,5,1,5,1,5,1,2,2,2,5,2,2,2
YJL167W,5,2,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YJL171C,2,2,2,5,2,4,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YJL213W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YJR121W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YKL164C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YKL185W,2,2,2,2,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YKL193C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YKL218C,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YKR013W,2,2,2,2,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YLR257W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YLR258W,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YLR153c,5,2,5,2,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YLR300W,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YLR377C,5,2,5,2,5,4,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YLR392C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YML008C,5,2,5,2,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YMR058W,2,2,2,2,2,4,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YMR104C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YMR295C,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YMR305C,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YNL015W,2,2,2,5,2,2,2,5,2,5,5,5,5,2,1,5,5,2,2,2,2,2,2,2
YNL074C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YNL142W,5,1,5,2,5,5,5,2,5,2,2,2,2,5,2,2,2,1,1,1,5,1,1,1
YNL274C,5,2,5,2,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YOL019W,5,2,5,2,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YOR128C,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YOR018W,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YOR358W,2,2,2,1,2,2,2,5,2,1,5,5,1,2,1,5,1,2,2,2,2,2,2,2
YOR375C,5,1,5,2,5,5,5,2,5,2,2,2,2,5,2,2,2,1,1,1,5,1,1,1
YPL061W,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YPL104W,5,2,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,2,2,2,5,2,2,2
YAL018C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBL009W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBL078C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBL084C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBR045C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBR063C,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBR064W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBR148W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBR184W,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4
YBR233W,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBR250W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YBR268W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YCL048W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YCLX03C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YCR002c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YCRX06W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YCRX07W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL008w,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL103C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL114w,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL154W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL155W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL186w,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL187c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDL239c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR042C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR065w,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR104C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR113C,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4
YDR117C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR118W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR177W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR191W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR218C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR253C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR260C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR263C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR273W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR317W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR326C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR355C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR371W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR402C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR403W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR438W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR508C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR516C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR522C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YDR523C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YEL016c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YEL023c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YEL061c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YER003c,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4
YER085c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YER096w,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YER106w,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YER115c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YER180c,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YER182w,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YFL011W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YFL012W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YFL040W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YFR012W,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YFR023W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YFR028C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YFR032C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGL015C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGL116W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGL138C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGL162W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGL170C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGL180W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGL230C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR059W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR108W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR109C,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR110W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR185C,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR202C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR224W,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,3,4,3,4
YGR225W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR226C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR228W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR229C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR266W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YGR273C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHL012W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHR015W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHR124W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHR150W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHR152W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHR166C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHR184W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YHR185C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YIL045W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YIL057C,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4
YIL099W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YIL112W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YIL139C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YIL144W,3,4,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,4,4,4,3,4,4,4
YIL159W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YIR013C,3,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YJL037W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YJL038C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YJL160C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YJR036C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YJR099W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YJR119C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YKL022C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YKL042W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YKL096W,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
YKL104C,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,4,4,3,4,4,4
