1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
HFL1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
W78854,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SQLE,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FAM198B,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AD036,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
OSBPL1A,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
WNT2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H66594,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ASNS,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
MEST,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DHCR24,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
W79348,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PIM1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
RHOBTB3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AA012995,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TMEM97,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SC5D,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SLC2A12,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SPTBN1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
IPO8,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SLC22A17,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
HMGCR,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CYP1B1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
RDH10,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SYNPO2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MID1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AA040147,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PQLC3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ELF2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
HBP1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
W67250,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
COL3A1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PDE8A,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
C1orf198,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SUSD4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4
SSPN,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PGRMC2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
VEZF1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TXNIP,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
HMGN3,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
BM-002,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
FAM111A,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
FPGT,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
KIAA1376,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
WEE1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
HLTF,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
HOXA11,1,4,1,1,1,1,3,1,3,1,1,1,1,1,1,1
USP49,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
RAP140,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FLJ10971,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
KBTBD6,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,1
ZNF302,1,4,1,1,1,3,3,1,3,1,1,1,1,1,1,3
DHX57,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
SUPT20H,1,4,1,4,4,3,3,3,3,1,4,4,4,1,4,3
FLJ20008,1,4,1,1,1,3,3,3,1,1,1,1,3,1,4,1
MSL1,1,4,1,1,1,3,3,3,3,1,1,1,3,1,4,3
CACNA1E,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
CREBZF,1,4,1,1,1,1,4,1,1,1,1,1,3,1,1,1
STX7,1,4,1,1,1,1,3,3,1,1,1,1,3,1,4,1
ALDH3A2,1,4,1,1,1,3,3,3,1,1,1,1,1,1,4,1
MEIS1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
NEDD4L,1,4,1,1,1,3,3,3,3,1,4,4,3,1,4,3
AGGF1,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
F2R,1,4,4,1,1,3,3,3,3,1,1,1,3,1,4,3
PLEKHA5,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
THBS3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DAAM1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
KIT,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
H83657,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SULT4A1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ECM2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
N64208,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CYP4V2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
LDB2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
HMGB2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SLC35E2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
GTF2I,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PNRC1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TCF7L2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SAV1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TGFBR3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FYN,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
HDHD3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PDZRN3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
LPIN1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DDIT3,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SH3D19,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ACF7,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TAX1BP1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
COBLL1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PDE8B,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ZNF521,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AHR,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ACACA,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
W45465,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CAMK2D,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PXK,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TBCK,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SRGAP2,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
DPYD,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FAM102B,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
BBS2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SERPINA7,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
RB1CC1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PBX1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
RAB11FIP2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TFPI,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
AHRR,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ADD3,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
B3GALT6,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TCAF1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SLC35A1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AA010407,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
IFIT2,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
CALCOCO1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
LSAMP,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ZBTB44,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
XRN1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ZBED5,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
ANGEL2,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
H05758,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
PHF3,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
ADGRL2,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
CLCN3,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
TIA1,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,1
HCGVIII-1,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
R70902,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,1
CDKN1B,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
KBTBD7,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
R43550,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
H92076,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
HSF2,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
R72963,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
SIAH1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
KLF12,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
WW45,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
NAA16,1,2,1,1,1,3,3,3,4,4,1,1,1,1,1,4
H29270,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
R17893,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
CDKN2C,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
SSX2IP,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
TFDP2,1,4,1,1,1,3,3,1,1,1,1,1,1,1,1,1
OXR1,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
HNMT,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
ICE2,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,1
KIAA0923,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,3
RFX5,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
MRE11A,1,4,1,1,1,1,3,3,1,1,1,1,1,1,1,1
NBPF1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
NBPF14,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
STK38,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,1
T98859,1,4,1,1,1,1,3,1,3,1,1,1,1,1,1,1
ROR2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CEBPG,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
CEP57,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,3
PLSCR1,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,3
DDX17,1,3,1,1,1,4,1,4,4,1,1,1,1,1,1,4
EFCAB7,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
SNX29,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ARL14EP,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
UACA,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PEAK1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
R51896,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
GOPC,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ATRX,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
KIAA0355,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
NARS,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
ATG4C,1,4,1,1,1,3,3,3,1,1,1,1,1,1,1,1
YYY,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
NR1D2,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
N33510,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
W73942,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FOXF2,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
ZFP36L2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
NSL1,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,3
PPM1B,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
LRRC32,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
TSTD2,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,3
IFIT1,1,4,1,1,1,1,3,1,3,1,1,1,1,1,1,1
PSPH,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KIAA1462,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAPK1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ZRANB1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PTGFRN,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
REEP5,4,4,4,3,3,1,4,1,2,1,3,3,1,3,3,1
ASPH,1,3,1,1,1,1,4,1,1,1,1,1,3,1,1,1
ITFG1,3,2,3,3,3,4,3,3,1,1,3,3,3,4,4,4
CPT1A,1,2,1,1,1,1,1,1,1,1,1,1,3,4,1,4
T85042,1,2,1,1,1,4,4,4,1,4,1,1,3,4,4,4
FBN1,1,4,1,1,1,1,4,1,1,1,1,1,3,1,1,1
R55334,1,2,1,1,1,3,3,3,3,1,4,1,3,1,4,3
PBX3,1,2,1,1,1,3,3,3,3,1,4,1,3,1,4,3
EPS15,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1
PLA2R1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PCSK6,3,4,3,3,3,1,3,3,2,1,3,3,1,3,3,2
W88694,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
ZNF616,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ANGPTL2,2,3,2,2,2,4,1,4,4,4,2,2,2,4,2,4
PDGFRB,1,3,1,1,1,4,1,4,4,4,1,1,1,4,1,4
GNAI2,1,3,1,1,1,4,1,4,4,4,1,1,1,4,1,4
MEG3,1,3,1,1,1,4,1,4,4,1,1,1,1,4,1,4
R37986,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4
CYP2C9,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4
FADS2,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
ELANE,1,3,1,1,1,4,1,4,4,1,1,1,1,4,1,4
W86869,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4
AA055520,2,3,2,2,2,4,1,4,4,2,2,2,2,2,2,4
C1R,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,4
AA004769,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4
L3MBTL2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,4
LPL,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,4
AA026215,2,3,4,2,2,4,1,4,4,2,2,2,2,2,2,4
AA026313,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,4
NUPR1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AA039465,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
PAPPA,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PSAT1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
FDFT1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
CYP51A1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
AA045738,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
DPYSL3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IDI1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
OXSR1,1,3,1,1,1,1,4,1,1,1,1,1,1,1,1,1
INSIG1,1,3,4,1,1,1,4,1,1,1,1,1,1,1,1,1
TMTC1,1,3,1,1,1,4,1,4,4,1,1,1,1,4,1,4
CCNL1,1,3,1,1,1,4,1,4,4,4,1,1,1,4,1,4
UGCG,1,3,1,1,1,1,1,1,4,1,1,1,1,1,1,4
SCD,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
APOD,4,3,4,2,3,4,1,4,1,3,3,3,2,3,3,2
PLPP3,2,2,2,4,4,3,2,4,3,2,4,4,4,2,4,3
AA021170,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
W67988,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2
NEDD9,4,1,4,3,3,2,2,2,2,3,3,3,2,3,3,2
SMC2,1,4,1,1,1,3,3,3,3,1,4,1,3,1,4,3
NUSAP1,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
AA009547,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
PRIM2,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
NUCKS1,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
LBR,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
N54485,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
CENPE,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
MELK,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
HAUS1,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
MSH2,1,2,1,1,1,3,3,3,3,4,4,4,3,1,4,3
W93536,1,4,1,1,1,3,3,3,3,1,4,4,3,1,4,3
POLD3,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
FAF1,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
ADAMTS1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
ARL4D,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1
SLC38A2,1,4,1,1,1,3,3,3,3,1,1,1,1,1,1,3
AA035262,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
CNAP1,1,4,1,1,1,3,3,3,3,1,1,1,1,1,4,3
AA029676,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
PCNA,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
N55327,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
ARRDC4,1,2,1,4,4,3,3,3,3,4,4,4,4,4,4,3
TOP2A,1,4,1,1,1,3,3,3,3,1,4,4,3,1,4,3
CKAP2,1,4,1,1,1,3,3,3,3,1,4,1,3,1,4,3
R13146,1,4,1,1,1,3,3,3,3,1,4,1,3,1,4,3
R10991,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
H68297,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
HSPC150,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
CENPF,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
RRM1,1,4,1,4,4,3,3,3,3,1,4,4,4,1,4,3
CCNA2,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
R20345,1,2,1,1,1,3,3,3,3,4,4,4,4,1,4,3
FEN1,1,2,1,4,4,3,3,3,3,4,4,4,4,4,4,3
KPNA2,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
ARL6IP1,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
RRM2,1,4,1,1,1,3,3,3,3,3,4,4,4,1,4,3
CDK1,1,4,1,1,1,3,3,3,3,1,4,4,3,1,4,3
OCLN,1,4,1,1,1,3,3,3,3,1,4,4,3,1,4,3
CKS2,1,4,1,1,1,3,3,3,3,1,4,4,4,1,4,3
CCNB1,3,4,3,3,3,3,3,3,3,3,4,3,1,3,4,3
UGT2B7,1,4,1,1,1,3,3,3,3,1,4,1,1,1,4,3
ATF3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PPP4C,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BRD3,1,3,1,1,1,4,1,4,4,1,1,1,1,1,1,4
T95837,1,3,1,1,1,4,1,4,4,4,1,1,1,4,1,4
FOS,1,3,1,1,1,4,1,4,4,1,1,1,1,4,1,4
EGR1,1,3,1,1,1,4,1,4,4,4,1,1,1,4,1,4
NR4A2,1,3,1,1,1,4,1,4,4,4,1,1,1,4,1,4
CXCL2,3,1,3,3,3,2,2,2,2,3,3,3,2,3,3,2
GEM,3,3,3,3,3,2,1,2,2,3,3,3,3,3,3,2
R16980,4,1,4,3,3,2,2,2,2,3,3,3,2,3,3,2
ATP1B3,4,1,3,3,3,2,2,2,2,3,3,3,4,3,3,2
ZBTB21,3,1,4,3,3,2,2,2,2,3,3,3,2,3,3,2
W72835,4,1,3,3,3,2,2,2,2,3,3,3,4,3,3,2
TNFAIP3,3,1,3,3,3,2,2,2,2,3,3,3,2,3,3,2
HIVEP2,4,1,4,2,3,2,2,2,2,3,3,3,4,3,3,2
GFM2,4,1,4,2,3,2,2,2,2,3,3,3,2,3,3,2
CCL2,4,1,4,2,3,2,2,2,2,3,3,3,4,3,3,2
FAM175B,4,1,4,2,4,2,2,2,2,3,3,3,4,3,3,2
IL1B,4,1,4,2,4,2,2,2,2,3,3,3,4,3,3,2
CXCL8,4,1,4,2,3,2,2,2,2,3,3,3,4,3,3,2
R25353,3,1,3,3,3,2,2,2,2,3,3,3,4,3,3,2
ETS2,3,1,3,3,3,2,2,2,2,3,3,3,2,3,3,2
ETS1,3,1,4,3,3,2,2,2,2,3,3,3,2,3,3,2
CLDN4,4,1,4,3,3,2,2,2,2,3,3,3,2,3,3,2
PMEPA1,4,1,4,2,3,2,2,2,2,3,3,3,4,3,3,2
VEGFA,4,1,4,2,3,2,2,2,2,3,3,3,2,3,3,2
FLT1,4,1,4,4,4,2,2,2,2,3,3,3,2,3,3,2
MAT2A,4,1,4,2,4,2,2,2,2,2,2,2,2,2,2,2
H25689,4,1,3,2,3,2,2,2,2,3,3,3,4,3,3,2
FLYWCH1,4,1,3,2,3,2,2,2,2,3,3,3,4,3,3,2
THBD,4,1,4,2,3,2,2,2,2,3,3,3,4,3,3,2
BMPR2,4,1,3,2,3,2,2,2,2,3,3,3,2,3,3,2
T48818,4,1,4,2,4,2,2,2,2,3,3,3,4,3,3,2
STC1,4,1,4,2,4,2,2,2,2,3,3,4,4,3,3,2
