1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
YNL060C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YNL061W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YNL062C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YNL174W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YNL175C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YNR038W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YNR053C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR051C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOL077C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR206W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR306C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR309C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR310C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR312C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YPL012W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YBR072W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YBR196C,1,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2
YCR012w,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2
YCR013C,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2
YDL234C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDR050C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDR258C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YER049w,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YER067w,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YER130c,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YER150w,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YFR053C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YFR055W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YFR056C,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2
YGL055W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YGL253W,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
YGR142W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YGR146C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YGR192C,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YGR211W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YHR030C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YHR064C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YHR174W,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2
YJL052W,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YJL107C,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1
YJL108C,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2
YJL165C,1,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1
YJR009C,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YJR045C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YJR078W,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YKL060C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YKL152C,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,1,2
YKL153W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YKR016W,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR194C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR044c,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR089C,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR136c,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YKR061W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YKR080W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLL026w,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR359W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YLR414C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YML038C,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
YMR039C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YNL160W,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YNR033W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOL158C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR036W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOL059W,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR178C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR197W,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR207C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR208W,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR209C,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2
YOR299W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR344C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR385W,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YOR389W,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YPL057C,1,2,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,1,2,1,2
YPL106C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YPL277C,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
YPL278C,1,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,2
YPR030W,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
YPR074C,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YAL012W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDR055w,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDR129C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDR497C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YER158c,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YGL179C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YGR189C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YHL021C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YJL159W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YJL167W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YJL171C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YJL213W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YJR121W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YKL164C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YKL185W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YKL193C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YKL218C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YKR013W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR257W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR258W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR153c,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR300W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR377C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YLR392C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YML008C,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YMR058W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YMR104C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YMR295C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YMR305C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YNL015W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YNL074C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YNL142W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
YNL274C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOL019W,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR128C,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR018W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR358W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YOR375C,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
YPL061W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YPL104W,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YAL018C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBL009W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBL078C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBL084C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR045C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR063C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR064W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR148W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR184W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR233W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR250W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YBR268W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YCL048W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YCLX03C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YCR002c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YCRX06W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YCRX07W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL008w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL103C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL114w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL154W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL155W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL186w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL187c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL239c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR042C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR065w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR104C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR113C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR117C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR118W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR177W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR191W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR218C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR253C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR260C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR263C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR273W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR317W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR326C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR355C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR371W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR402C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR403W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR438W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR508C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR516C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR522C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDR523C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YEL016c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YEL023c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YEL061c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YER003c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YER085c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YER096w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YER106w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YER115c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YER180c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YER182w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YFL011W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YFL012W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YFL040W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YFR012W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YFR023W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YFR028C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YFR032C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGL015C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGL116W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGL138C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGL162W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGL170C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGL180W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGL230C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR059W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR108W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR109C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR110W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR185C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR202C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR224W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR225W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR226C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR228W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR229C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR266W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YGR273C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHL012W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR015W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR124W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR150W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR152W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR166C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR184W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR185C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL045W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL057C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL099W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL112W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL139C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL144W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIL159W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YIR013C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YJL037W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YJL038C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YJL160C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YJR036C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YJR099W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YJR119C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKL022C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKL042W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKL096W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKL104C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKL107W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKL189W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKR005C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR195C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR209C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR210W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR213C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR220W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR227C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR012C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR013W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR030W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR045c,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR049C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR054C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YKR089C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLL004w,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLL005C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLL012W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR265C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR273C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR274W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR290C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR307W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR308W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR314C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR341W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR343W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YLR368W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YML034W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YML065W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YML119W,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YMR001C,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
