1,2,3,4,5,6,7,8,9,10,11,12,13,14
YCL063W,6,4,4,6,5,4,4,4,4,4,3,4,4,4
YDR324C,6,2,2,6,2,1,5,1,3,5,1,3,3,6
YDR325W,6,4,4,6,2,4,5,4,4,5,3,4,3,4
YGR108W,6,4,4,6,2,1,5,1,3,5,3,3,3,3
YPR119W,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YOL069W,6,4,3,6,2,4,5,5,5,5,3,5,3,5
YHR023W,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YPL242C,6,1,3,6,2,4,5,5,5,5,3,5,3,5
YJR092W,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YLR353W,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YCL037C,6,1,2,6,5,2,5,5,5,5,3,5,3,5
YMR001C,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YGL021W,6,4,3,6,2,1,5,1,6,5,3,3,3,3
YOR025W,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YDR146C,6,6,3,6,2,1,5,1,3,5,3,3,3,3
YLR131C,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YNL053W,6,4,4,6,5,4,5,4,4,5,3,4,3,4
YPR167C,6,3,6,6,2,6,5,6,4,5,3,6,3,4
YML033W,6,1,4,6,2,1,5,5,5,5,3,5,3,5
YML034W,6,4,4,6,2,4,5,5,5,5,3,5,3,5
YOR315W,6,1,3,6,2,1,5,1,6,5,3,3,3,3
YHL028W,6,4,3,6,2,4,5,5,5,5,3,5,3,5
YPL127C,5,4,3,5,2,4,5,4,4,5,3,4,3,4
YLL021W,5,4,3,5,2,4,5,4,4,5,3,4,3,4
YDR297W,3,4,4,3,2,4,5,4,4,5,3,4,3,4
YJR043C,3,4,4,3,5,4,4,4,4,4,4,4,4,4
YDR113C,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YNL126W,3,4,6,3,6,6,6,6,4,4,6,6,6,4
YEL061C,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YHR172W,3,4,4,3,4,4,4,4,4,4,4,4,4,4
YPR141C,3,4,6,3,2,6,6,6,4,4,3,6,6,4
YLR045C,3,4,3,3,2,4,5,4,4,5,3,4,3,4
YGR140W,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YBL063W,3,3,3,3,2,6,6,6,4,3,3,6,6,4
YDR356W,3,4,3,3,2,6,6,6,4,5,3,6,6,4
YJR006W,6,3,6,6,2,6,6,6,2,3,3,6,6,2
YBL003C,4,5,3,4,2,5,5,4,4,5,3,4,3,4
YBL002W,4,4,4,4,2,4,5,4,4,5,3,4,3,4
YMR190C,3,4,4,3,5,4,4,4,4,4,3,4,4,4
YPL016W,3,4,3,3,5,4,5,4,4,5,3,4,3,4
YFR037C,3,2,2,3,4,2,4,2,2,6,2,2,2,2
YER001W,3,4,4,3,4,4,5,4,4,5,4,4,3,4
YER003C,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YDL093W,3,4,3,3,5,4,4,4,4,4,4,4,4,4
YIR017C,6,3,3,6,2,6,6,6,4,3,3,6,6,4
YKR001C,3,1,6,3,2,6,6,6,4,5,3,6,6,4
YER118C,5,4,4,5,2,4,5,4,4,5,3,4,3,4
YER016W,4,4,4,4,2,4,4,4,4,4,3,4,4,4
YKR010C,6,4,6,6,2,6,6,6,4,4,3,6,6,4
YHR061C,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YEL017W,6,3,5,6,2,3,3,3,4,3,3,6,5,4
YLL062C,6,3,5,6,2,3,5,3,2,5,3,6,3,2
YJL118W,4,4,3,4,2,4,4,4,4,4,3,4,4,4
YDR179C,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YER018C,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YBR156C,3,4,3,3,5,4,4,4,4,4,3,4,4,4
YBR184W,3,2,2,3,5,2,3,2,2,3,2,2,2,2
YLR228C,6,2,2,6,5,2,3,2,2,3,3,2,2,2
YDR252W,6,3,6,6,5,6,6,6,4,3,6,6,6,4
YBR007C,3,2,2,3,5,2,4,2,2,4,2,2,2,2
YEL018W,6,3,5,6,2,3,3,3,4,3,3,6,5,4
YER019W,3,4,4,3,5,4,4,4,4,4,4,4,4,4
YFR038W,3,4,4,3,4,4,4,4,4,4,4,4,4,4
YLL061W,6,3,5,6,2,3,3,3,2,3,3,6,5,2
YKL049C,6,4,3,6,2,4,5,4,4,5,3,4,3,4
YOR188W,3,4,4,3,5,4,4,4,4,4,4,4,4,4
YJR076C,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YJL092W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YCR084C,6,4,4,6,5,4,4,4,4,4,3,4,4,4
YJR112W,6,4,6,6,2,6,5,6,4,5,3,6,3,4
YLL046C,6,3,5,6,3,3,3,3,2,3,5,6,5,2
YDR464W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YKL068W,3,4,4,3,5,4,4,4,4,4,4,4,4,4
YDR451C,6,4,4,6,2,4,5,4,4,5,3,4,3,4
YCR085W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YMR003W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YNR009W,6,4,3,6,2,4,5,4,4,5,3,4,3,4
YOR073W,6,4,3,6,2,4,4,4,4,4,3,4,4,4
YLL047W,6,2,2,6,6,2,6,2,2,3,2,2,2,2
YDR366C,6,2,6,6,2,6,5,6,2,5,3,6,3,2
YCR086W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YIL169C,3,4,3,3,2,4,4,5,5,4,3,5,4,5
YKL052C,3,4,4,3,2,4,4,4,4,4,3,4,4,4
YKL053W,6,3,6,6,2,6,6,6,4,3,3,6,6,4
YKL069W,6,4,4,6,2,4,4,4,4,4,3,4,4,4
YPL116W,6,3,5,6,2,3,3,3,4,3,3,4,5,4
YPL264C,6,3,6,6,2,6,6,6,4,3,3,6,6,4
YBR200W,1,2,2,1,1,1,1,5,1,1,1,1,2,1
YBR202W,2,6,1,1,1,1,1,1,3,1,1,3,3,6
YPR019W,1,1,3,1,1,1,1,5,5,1,1,5,3,5
YBL023C,2,2,2,2,5,1,1,1,6,1,1,3,3,6
YEL032W,1,2,2,1,1,1,1,5,1,1,1,1,2,6
YPL058C,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YGR035C,2,1,3,6,2,1,1,5,5,1,3,5,3,5
YHL026C,1,5,2,1,1,1,1,5,1,1,1,1,2,1
YMR254C,2,1,1,1,1,1,1,5,5,1,1,5,1,5
YMR031C,2,5,1,1,1,1,1,5,5,1,1,5,3,6
YLR254C,1,6,1,1,1,1,1,1,1,1,1,1,1,1
YOR273C,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YLR015W,6,6,1,6,4,1,1,1,6,1,1,3,1,6
YBR038W,6,1,3,6,2,1,1,5,5,1,3,5,3,5
YLR014C,5,6,1,5,4,1,1,1,6,6,1,3,1,6
YOR274W,3,2,2,3,1,2,1,2,1,1,2,1,2,1
YGL116W,6,1,3,6,5,1,5,5,5,5,3,5,3,5
YGR092W,2,1,3,6,2,1,1,5,5,1,3,5,3,6
YBR138C,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YOR058C,6,4,4,6,5,4,5,5,5,5,3,5,3,5
YCR042C,1,1,1,1,1,1,1,5,1,1,1,1,3,1
YOR229W,2,5,1,1,1,1,1,5,1,1,1,1,3,6
YKL130C,6,4,4,6,2,1,5,5,5,5,3,5,3,6
YIL162W,6,1,3,6,1,4,4,5,1,4,3,1,4,1
YDL138W,6,5,1,6,1,1,1,1,1,1,1,1,1,1
YDL048C,6,2,3,6,1,2,3,5,1,3,3,1,2,1
YGR143W,2,1,1,6,1,1,1,5,5,1,1,5,3,6
YKL129C,6,5,3,6,1,1,1,5,1,1,3,1,3,1
YIL167W,2,5,3,1,1,1,1,5,1,1,1,1,1,1
YHR152W,1,1,3,1,1,1,5,5,5,5,3,5,3,5
YJL079C,1,6,1,1,1,1,1,5,1,1,1,1,1,6
YAR018C,1,1,3,1,1,1,1,5,5,1,1,5,3,5
YAL022C,2,6,1,1,1,1,1,1,6,1,1,3,3,3
YGR279C,2,1,1,1,2,1,1,1,3,1,1,3,3,6
YGL201C,2,6,1,1,1,1,1,1,3,1,1,3,3,6
YNL057W,2,1,3,1,2,1,1,5,5,1,1,5,3,5
YML119W,2,6,3,6,2,1,1,1,3,1,1,3,3,3
YOL137W,6,1,1,6,1,1,1,5,5,1,1,5,3,6
YPL186C,6,2,2,6,1,2,3,2,1,3,2,1,2,1
YCL038C,1,1,2,1,5,2,1,5,5,1,2,5,2,5
YKR021W,6,2,2,6,2,2,1,2,6,1,3,1,2,6
YPR157W,6,4,3,6,2,1,1,5,1,1,3,1,4,1
YJL051W,6,4,3,6,2,1,1,5,5,1,3,5,3,5
YOL014W,6,4,4,6,1,1,1,5,5,1,3,5,3,5
YGR230W,6,2,2,6,1,1,1,1,1,1,1,1,3,1
YLR190W,6,1,3,6,2,1,5,5,5,5,3,5,3,5
YMR032W,6,4,3,6,2,1,5,5,5,5,3,5,3,5
YOL070C,2,1,3,1,2,1,1,1,3,1,1,3,3,3
YLR297W,1,5,3,1,1,1,1,5,1,1,3,1,3,1
YHR151C,2,4,4,3,5,1,5,5,5,5,1,5,3,5
YNL058C,2,1,3,1,2,1,1,5,5,1,3,5,3,5
YER111C,1,2,2,1,1,1,1,5,5,1,1,5,2,6
YML109W,4,2,3,2,4,2,4,2,2,4,2,2,2,2
YNR016C,1,5,5,2,2,5,2,3,2,2,3,2,5,2
YBR067C,1,2,2,1,1,2,3,2,1,3,2,1,2,1
YGL055W,1,3,5,2,3,3,3,3,2,3,5,6,5,2
YLR050C,2,5,4,1,1,1,1,1,3,1,1,3,4,3
YGR109C,4,6,1,2,3,1,1,1,3,1,1,3,1,3
YPR120C,4,6,1,2,4,1,1,1,3,1,1,3,1,3
YDL127W,2,6,1,2,3,1,1,1,3,1,1,3,3,6
YNL289W,4,4,4,4,4,4,5,4,4,5,4,4,3,4
YPL256C,4,2,2,2,4,2,5,2,2,5,2,2,3,2
YMR199W,4,4,4,4,4,4,5,4,4,5,4,4,3,4
YJL187C,4,4,3,4,4,4,4,4,4,4,4,4,4,4
YDL003W,4,1,1,4,4,5,5,1,3,5,1,3,3,3
YMR076C,4,5,3,4,4,5,5,4,4,5,4,4,3,4
YKL042W,4,1,4,4,4,1,5,1,3,5,1,3,3,3
YFL008W,4,6,1,4,6,6,6,6,6,6,6,6,1,3
YPL241C,4,1,3,4,6,6,5,6,6,5,6,6,3,4
YMR078C,4,2,2,2,3,2,3,2,2,3,2,2,2,2
YLR212C,2,1,1,2,4,1,5,1,6,5,1,3,3,6
YNL225C,2,6,1,4,2,1,5,1,6,5,1,3,3,3
YPL209C,5,3,6,5,6,6,6,6,4,3,6,6,6,4
YJL074C,4,1,3,2,6,6,6,6,2,4,6,6,6,2
YNL233W,4,2,2,2,3,2,3,2,2,3,2,2,2,6
YLR313C,5,2,6,2,6,6,6,6,2,3,6,6,6,2
YGR041W,2,1,3,2,6,1,1,1,6,1,1,3,6,3
YGR152C,4,2,2,2,3,2,3,2,2,6,2,2,2,2
YDR507C,4,1,3,4,2,5,5,6,3,5,3,6,3,3
YIL159W,4,2,2,2,5,2,4,2,2,4,2,2,2,2
YGL027C,4,1,3,2,5,5,2,5,5,2,5,5,5,5
YML102W,4,6,1,2,3,1,1,1,3,1,1,3,1,3
YPR018W,1,3,6,2,6,6,6,6,3,3,6,6,6,6
YBL035C,4,2,2,2,3,1,1,1,3,1,1,3,2,6
YNL102W,4,3,6,2,6,6,6,6,2,3,6,6,6,2
YBR278W,5,6,1,2,6,1,1,1,3,6,1,3,1,3
YPR175W,1,6,1,2,6,1,1,1,3,1,1,3,1,3
YNL262W,1,1,3,1,6,1,1,5,5,1,1,5,1,5
YBR088C,4,5,5,2,3,5,2,3,3,2,5,3,5,3
YLR103C,4,2,2,2,3,2,3,2,2,3,2,2,2,2
YAR007C,2,6,1,2,6,1,1,1,6,1,1,3,1,3
YNL312W,4,3,5,2,3,3,3,3,2,3,5,6,5,2
YJL173C,2,3,5,4,2,3,3,3,5,3,3,6,5,5
YER070W,4,6,1,2,3,5,5,3,2,5,5,2,3,2
YOR074C,4,2,6,2,6,6,6,6,2,4,6,6,6,2
YDL164C,2,6,1,4,3,1,1,1,3,1,1,3,1,3
YKL045W,5,6,6,5,6,6,6,6,6,6,6,6,6,4
YBR252W,2,5,1,4,2,1,5,1,3,5,1,3,3,3
YLR032W,1,4,4,1,1,4,4,4,1,4,4,1,4,1
YML060W,4,2,2,2,5,2,4,2,2,4,2,2,2,2
YDR097C,4,1,3,4,6,5,2,6,4,2,6,6,6,4
YNL082W,2,6,1,2,3,1,1,1,3,1,1,3,1,3
YOL090W,4,1,3,4,6,6,6,6,6,2,6,6,6,3
YLR383W,4,3,5,4,3,3,3,3,4,3,5,6,5,4
YKL113C,4,3,5,2,3,3,3,3,2,3,5,2,5,2
YLR234W,2,3,5,2,3,3,3,3,6,3,5,3,5,3
YPL153C,4,1,6,2,6,6,6,6,2,3,6,6,6,2
YDL101C,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YML021C,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YML061C,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YMR179W,4,6,1,4,4,1,1,1,3,1,1,3,3,3
YML027W,4,4,4,4,4,1,5,1,3,5,1,3,3,3
YDL227C,2,1,3,4,4,1,5,1,6,5,1,3,3,3
YLR382C,1,2,2,2,1,2,3,2,2,3,2,2,2,2
YJL196C,2,6,1,4,6,1,1,1,3,1,1,3,1,3
YKL165C,4,3,5,2,3,3,3,3,6,3,5,6,5,2
YLL002W,2,1,3,2,3,1,1,1,3,1,1,3,1,6
YPL124W,4,1,3,4,2,6,5,6,5,5,3,6,3,5
YKL101W,4,1,3,4,2,5,5,6,6,5,3,6,3,4
YLR457C,1,2,2,2,1,2,3,2,2,3,2,2,2,6
YBR070C,4,2,2,2,3,2,3,2,2,3,2,2,2,2
YLR233C,4,4,3,4,4,4,4,4,4,4,4,4,4,4
YPL057C,1,1,3,2,5,2,6,5,5,2,2,5,2,5
YBR073W,1,5,3,1,5,5,2,3,1,2,5,1,5,1
YGL200C,2,3,5,2,2,1,1,1,3,1,3,3,3,3
YHR153C,4,1,3,2,6,1,1,1,6,1,1,3,3,3
YNL272C,2,6,3,4,6,1,1,5,6,1,1,5,6,5
YKR077W,2,5,1,2,3,1,1,1,3,1,1,3,3,3
YDL105W,1,5,3,1,1,5,2,5,1,2,5,1,5,1
YPL267W,4,6,1,2,6,1,1,1,3,1,1,3,3,3
YDL156W,1,6,1,1,3,1,1,1,6,1,1,3,1,3
YOL017W,1,1,3,1,6,1,1,5,6,1,1,5,6,5
YBR071W,2,5,5,1,1,1,1,1,3,1,1,3,3,3
YLL022C,4,6,1,4,4,4,4,4,4,6,4,4,1,4
YLR236C,4,3,5,2,3,3,3,3,2,3,5,2,5,2
YCL022C,1,1,3,1,1,5,2,5,5,2,1,5,6,5
YCL024W,4,2,2,2,6,2,2,2,2,6,2,2,2,2
YLR121C,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YHR154W,4,3,6,2,6,6,6,6,2,3,6,6,6,2
YHR110W,2,3,5,2,3,3,3,3,3,3,5,6,5,3
YDL010W,1,1,3,2,3,3,3,5,5,3,5,5,5,5
YPR174C,5,6,1,2,3,2,3,2,2,6,2,2,1,2
YJL181W,4,6,3,4,6,1,1,1,3,1,1,3,3,3
YLR183C,4,6,1,4,6,6,5,6,4,5,6,6,3,4
YOL007C,4,2,2,2,3,2,3,2,2,3,2,2,2,2
YIL026C,4,3,6,2,6,6,6,6,2,3,6,6,6,2
YKL108W,5,2,6,5,6,6,6,6,2,3,6,6,6,2
YLR326W,5,3,5,2,3,3,3,3,2,3,5,6,5,2
YLR381W,4,2,2,2,3,2,3,2,2,3,2,2,2,2
YNL273W,2,2,2,2,3,2,1,2,2,1,2,2,2,6
YJL018W,5,3,6,5,6,6,6,6,6,3,6,6,6,2
YBR089W,4,1,3,2,3,5,2,3,2,2,5,6,3,2
YLR349W,2,1,3,4,2,1,5,5,5,5,1,5,3,5
YCL061C,4,1,3,2,5,6,6,5,5,6,6,5,6,5
YDR309C,2,5,1,4,4,1,1,1,3,1,1,3,3,3
YKR013W,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YDL018C,4,6,1,2,6,1,1,1,3,1,1,3,1,3
YKR083C,2,5,1,2,2,1,5,1,3,5,1,3,3,3
YDR383C,1,5,6,1,6,6,6,5,5,1,6,5,6,5
YDR013W,5,2,3,2,6,6,6,6,2,6,6,6,6,2
YGR238C,1,3,5,1,1,3,3,3,1,3,5,1,5,1
YNL309W,2,3,5,2,3,3,3,3,3,3,5,6,5,6
YPL208W,5,6,6,5,6,6,6,6,4,6,6,6,6,4
YLR376C,5,3,5,2,3,3,3,3,2,3,5,2,5,2
YNL300W,4,4,6,4,6,6,6,6,4,4,6,6,6,4
YAR003W,3,2,2,3,4,2,4,2,2,4,2,2,2,2
YCL060C,4,6,6,4,6,6,6,6,6,6,6,6,6,4
YDL103C,5,2,2,2,3,2,5,2,2,5,2,2,3,6
YNL303W,4,6,1,4,3,1,1,1,3,1,1,3,1,3
YNL310C,1,3,5,2,3,3,3,3,2,3,5,2,5,6
YOR144C,4,2,2,2,3,2,3,2,2,3,2,2,2,6
YDR488C,5,1,6,5,6,6,6,6,6,5,6,6,6,2
YOR026W,5,2,2,5,5,2,5,2,2,5,2,2,3,2
YIL140W,4,3,6,4,6,6,6,6,4,3,6,6,6,4
YKL067W,2,3,5,2,2,3,3,3,5,3,3,5,5,5
YJL115W,5,3,6,5,6,6,6,6,2,3,6,6,6,2
YDL197C,4,3,6,2,6,6,6,6,2,3,6,6,6,2
YCR065W,4,2,2,2,5,2,5,2,2,5,2,2,2,2
YBR275C,4,1,3,2,5,2,2,2,2,2,2,2,2,2
YKL127W,4,4,4,4,4,4,4,4,4,4,4,4,4,4
YAR008W,4,6,1,2,6,6,6,6,6,6,6,6,1,2
YDL095W,4,3,5,4,3,3,3,3,4,3,5,4,5,4
YOL019W,2,1,3,2,2,5,5,5,5,5,3,5,3,5
YLR151C,5,3,5,5,3,3,3,3,6,3,5,6,5,1
YOR284W,4,3,5,2,3,3,3,3,2,3,5,2,5,2
YMR048W,5,6,1,2,6,1,1,1,6,1,1,3,1,3
YJR155W,4,3,5,2,3,3,3,3,6,3,5,6,5,3
YLR126C,5,3,5,5,3,3,3,3,6,3,5,6,5,2
YNL304W,4,4,4,4,4,4,5,4,4,5,4,4,3,4
YGR189C,1,3,5,1,1,3,3,3,1,3,5,1,5,1
YAL034W-A,4,2,2,2,5,2,4,2,2,4,2,2,2,2
YBR276C,4,2,2,2,5,2,4,2,2,4,2,2,2,2
YDL096C,3,4,6,3,6,6,6,6,4,4,6,6,6,4
YFR026C,1,3,5,1,3,3,3,3,1,3,5,1,5,1
YFR027W,4,2,2,2,3,2,3,2,2,3,2,2,2,2
YNL072W,2,5,1,2,3,1,1,1,3,1,1,3,3,3
YDL179W,2,1,3,1,2,1,1,5,5,1,1,5,3,5
YLR079W,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YJL194W,2,1,2,1,1,1,1,1,3,1,1,3,3,6
YLR274W,2,5,1,1,1,1,1,5,5,1,1,5,1,6
YGR044C,1,5,3,1,1,1,1,5,5,1,1,5,5,5
YJL157C,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YKL185W,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YHR005C,2,5,1,1,1,1,1,1,3,1,1,3,1,6
YNR001C,1,5,3,1,1,1,1,5,5,1,1,5,5,5
YKL150W,2,5,3,1,2,1,1,5,5,1,3,5,3,5
YLR395C,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YOR065W,2,5,5,1,1,1,1,5,5,1,1,5,5,5
YDL181W,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YGR183C,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YLR258W,1,5,3,1,1,1,1,5,5,1,1,5,4,5
YML110C,2,6,1,1,1,1,1,1,3,1,1,3,1,3
YLR273C,1,2,2,1,1,2,1,5,1,1,2,1,2,1
YCR005C,2,1,3,1,1,1,1,5,5,1,1,5,4,5
YCL040W,1,5,3,1,1,1,1,5,5,1,1,5,5,5
YMR256C,2,5,3,1,2,1,1,5,5,1,1,5,3,5
YIL009W,2,5,1,1,1,1,1,1,3,1,1,3,1,3
YLL040C,2,5,2,1,1,1,1,5,5,1,1,5,2,5
YGR281W,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YBR083W,2,5,3,1,2,1,1,5,5,1,1,5,3,5
YBR054W,1,6,1,1,1,1,1,5,1,1,1,1,1,1
YKL116C,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YPR002W,1,1,3,1,1,1,1,5,5,1,1,5,2,5
YNR067C,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YBR158W,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YDL117W,2,1,3,1,1,1,1,5,5,1,1,5,3,6
YMR007W,2,5,1,1,1,1,1,5,5,1,1,5,1,5
YNL046W,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YOR264W,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YPL066W,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YBR052C,1,5,3,1,1,1,1,5,1,1,1,1,1,1
YPL158C,1,5,3,1,1,1,1,5,5,1,1,5,6,5
YHR022C,1,5,1,1,1,1,1,5,1,1,1,1,1,1
YPL004C,2,5,3,1,1,1,1,5,5,1,3,5,3,5
YBR157C,1,5,2,1,1,1,1,5,5,1,1,5,2,5
YNL078W,2,5,3,1,1,1,1,5,5,1,1,5,3,5
YOR066W,2,5,2,1,1,1,1,5,1,1,1,1,3,6
YBR053C,1,5,1,1,1,1,1,5,1,1,1,1,1,1
YDR511W,1,5,5,1,1,1,1,5,1,1,1,1,5,1
YDR033W,2,5,3,1,1,1,1,1,3,1,1,3,3,3
YKL163W,2,5,1,1,1,1,1,5,5,1,1,5,1,5
YBR231C,1,5,3,1,1,1,1,5,1,1,1,1,1,1
YDR368W,1,3,5,1,1,1,1,5,5,1,1,5,5,5
YLR049C,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YLR286C,2,5,4,1,1,1,1,1,3,1,1,3,3,3
YHR038W,2,5,1,1,1,1,1,1,1,1,1,1,1,1
YGL089C,2,5,1,4,6,1,1,1,3,1,1,3,3,3
YPL187W,2,5,1,1,1,1,1,1,3,1,1,3,1,3
YNL173C,2,5,5,1,1,1,1,5,5,1,1,5,5,5
YJR148W,2,5,1,1,1,1,1,1,6,1,1,3,1,3
YOR317W,2,5,3,1,1,1,1,5,5,1,1,5,1,5
YOR316C,1,5,3,1,1,1,1,5,1,1,1,1,3,1
YPL014W,1,1,3,1,1,1,1,5,5,1,1,5,6,5
YJL078C,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YKL161C,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YHR113W,2,6,1,2,4,1,1,1,6,1,1,3,1,3
YDL119C,1,5,3,1,1,5,2,5,1,2,1,1,5,1
YDL124W,1,5,5,1,1,5,2,5,1,2,5,1,5,1
YHR039C,2,1,3,1,1,1,1,5,5,1,1,5,3,5
YDR493W,1,5,6,1,1,1,1,1,1,1,1,1,3,1
YGL028C,2,1,3,1,1,5,2,5,5,2,1,5,3,5
YNL073W,2,5,3,1,1,1,1,5,5,1,1,5,1,5
YER017C,1,5,3,1,1,5,2,5,1,2,1,1,1,1
YKL066W,1,5,5,1,2,5,2,5,5,2,3,5,5,5
YAL040C,2,5,3,1,1,1,1,5,1,1,1,1,3,1
